rf IDEAS - Credential Read Height Test,,,,,,,,,,,,,,,,,,,,,
Reader Type,HIP2_SP,Reader Model,RDR-800x1BxU-NT,,,,,,,,,,,,,,,,,,
Firmware,WNC00UNT700-v03.01.18,,,,,,,,,,,,,,,,,,,,
Test speed,Slow,Final tap,0.5mm @ 10 mm/s,,,,,,,,,,,,,,,,,,
Read angles,"0 deg, 90 deg",,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,
Generated,Jul-29-2026 15:27:37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run,Card #,Card Title,Card Code,0 deg Avg (mm),90 deg Avg (mm),180 deg Avg (mm),270 deg Avg (mm),0 deg Min,0 deg Max,90 deg Min,90 deg Max,180 deg Min,180 deg Max,270 deg Min,270 deg Max,0 deg Scans,90 deg Scans,180 deg Scans,270 deg Scans,Card Max (mm),Error / Skip
1,33,EM 4200,A016,54.32,53.32,,,54.32,54.32,53.32,53.32,,,,,1,1,,,54.32,
1,34,CEPAS,B017,33.32,30.32,,,33.32,33.32,30.32,30.32,,,,,1,1,,,33.32,
1,34,CEPAS,A017,33.82,31.32,,,33.82,33.82,31.32,31.32,,,,,1,1,,,33.82,
1,35,Paradox,B011,71.82,70.82,,,71.82,71.82,70.82,70.82,,,,,1,1,,,71.82,
1,35,Paradox,A011,65.82,64.82,,,65.82,65.82,64.82,64.82,,,,,1,1,,,65.82,
1,36,Keri UID,B005,69.32,68.82,,,69.32,69.32,68.82,68.82,,,,,1,1,,,69.32,
1,36,Keri UID,A005,69.32,69.32,,,69.32,69.32,69.32,69.32,,,,,1,1,,,69.32,
1,37,G Prox,B008,52.82,50.82,,,52.82,52.82,50.82,50.82,,,,,1,1,,,52.82,
1,37,G Prox,A008,50.32,50.82,,,50.32,50.32,50.82,50.82,,,,,1,1,,,50.82,
1,38,Awid UID,B006,63.82,63.82,,,63.82,63.82,63.82,63.82,,,,,1,1,,,63.82,
1,38,Awid UID,A006,61.82,62.32,,,61.82,61.82,62.32,62.32,,,,,1,1,,,62.32,
1,39,EM 410x UID,B007,60.82,59.32,,,60.82,60.82,59.32,59.32,,,,,1,1,,,60.82,
1,39,EM 410x UID,A007,59.82,63.32,,,59.82,59.82,63.32,63.32,,,,,1,1,,,63.32,
